업체명,전화번호,주소,위도,경도,지역,키워드
모산지게차정비공업사,031-676-8493,경기 안성시 대덕면 모산로 230-3,37.0396474604543,127.244022658303,경기,지게차 정비
현대산업차량 지정정비공장 현대지게차,031-1544-1944,경기 평택시 청북읍 청북로 426,37.0692669418883,126.966741580829,경기,지게차 정비
케이종합중기,010-4529-3617,경기 화성시 만세구 팔탄면 푸른들판로 753,37.174396321843844,126.8899975037375,경기,지게차 정비
중장비부품 미승상사,032-888-6700,인천 미추홀구 인중로16번길 5-10,37.463305384730546,126.64109400881422,인천,중장비 부품
현대건설기계 부품대리점 삼신중기ENG,032-885-3504,인천 서구 보도진로41번길 6,37.4949166142959,126.652676113984,인천,중장비 부품
볼보건설기계 인천부품센타,032-568-5803,인천 미추홀구 송림로 327,37.4764379025304,126.669312695937,인천,중장비 부품
리튬코리아 부품센터,,인천 남동구 논현고잔로 84,37.39045027633983,126.71259414768332,인천,중장비 부품
케이제이파츠,0502-5553-8005,인천 서구 원당대로205번길 32-11,37.5923218741505,126.62175865031,인천,중장비 부품
두산인프라코어 인천중기센타,032-577-4111,인천 동구 방축로23번길 22,37.4877241051643,126.649995723355,인천,중장비 부품
을왕정비건설기계,032-746-8251,인천 중구 용유서로480번길 32,37.4634663699087,126.372308748495,인천,건설기계 정비
그린정비건설기계,,인천 서구 드림로 148,37.582777187145,126.655429279552,인천,건설기계 정비
두산지게차부품 경동중기,032-565-0406,인천 서구 원당대로428번길 24-35,37.58889152009866,126.64877978767039,인천,지게차 부품
지구지게차,0507-1476-0402,인천 동구 방축로23번길 42-10,37.4882378372122,126.650963478538,인천,지게차 부품
현대중공업 중장비부품대리점,,부산 사상구 낙동대로 1220-1,35.1690098995208,128.97705635143,부산,중장비 부품
와이에스중장비정비 퍼킨스공식부품대리점,010-4121-5112,부산 강서구 공항로539번길 59,35.1572150432524,128.954977036513,부산,중장비 부품
중기부품센터,051-817-1973,부산 부산진구 동성로118번길 31,35.1615928047454,129.065942011896,부산,중장비 부품
두산인프라코어 영남중장비부품상사,051-317-8711,부산 사상구 광장로20번길 64,35.1597290198092,128.977642614025,부산,중장비 부품
태원상사,051-315-8080,부산 사상구 새벽시장로45번길 53-22,35.1582257227293,128.978312894667,부산,중장비 부품
BK부경건설기계정비,,부산 강서구 과학산단2로19번길 100-70,35.15405184275617,128.81772680780148,부산,건설기계 정비
국제지게차정비렌탈,1666-4249,부산 강서구 정관길 75,35.16508839820798,128.9294835136515,부산,건설기계 정비
화평중기종합정비 기장점,051-727-5115,부산 기장군 일광읍 기장대로 1243,35.3043955915251,129.239257684361,부산,건설기계 정비
클라크지게차 부산,1544-7364,부산 강서구 미음산단로295번길 15,35.1496481466841,128.859667467793,부산,지게차 부품
클라크지게차 영남총판,051-313-2316,부산 강서구 미음산단로295번길 15,35.1496481466841,128.859667467793,부산,지게차 부품
종합지게차정비,,부산 강서구 녹산산업북로313번길 66,35.0990855569748,128.853174617469,부산,지게차 정비
두산인프라코어 지정부품대리점 대구종합상사,053-254-5724,대구 중구 달성로22길 82,35.8744331879457,128.586609662756,대구,중장비 부품
고마츠 지정부품대리점,053-253-0294,대구 북구 검단로31길 73,35.9155403388431,128.619219092676,대구,중장비 부품
현대종합중기,053-253-8111,대구 서구 북비산로 91,35.878838422187236,128.54300457271356,대구,중장비 부품
은성건설기계정비공업,053-585-5900,대구 달서구 성서공단로 72-19,35.83309672343254,128.49112413587793,대구,건설기계 정비
세아건설기계정비 2공장,053-592-8875,대구 달서구 달서대로91길 131,35.83944512282142,128.477506140243,대구,건설기계 정비
대호건설기계정비,053-585-2703,대구 달서구 성서공단로21길 63,35.8408262823017,128.49392945375,대구,건설기계 정비
현대건설기계,,대구 서구 가르뱅이로 79-15,35.8818148234875,128.52941572373,대구,건설기계 정비
창신종합중기정비,053-382-5900,대구 북구 신천동로 980,35.9023116046319,128.594990087566,대구,건설기계 정비
두산중기정비,,대구 서구 와룡로 439-8,35.87238369105628,128.53743756212162,대구,건설기계 정비
현대자동차블루핸즈 서대구현대상용서비스,053-585-5900,대구 달서구 성서공단로 72-19,35.8328643080419,128.490681555271,대구,건설기계 정비
조은전동지게차,053-587-7080,대구 달서구 성서공단로 346,35.83626541427864,128.521585298849,대구,지게차 부품
백년지게차,053-554-1800,대구 달서구 월배로5길 96,35.81774338381765,128.5096927497435,대구,지게차 수리
디벨론전남부품센터,,광주 서구 매월2로 53,35.1148962626178,126.865004995598,광주,중장비 부품
현대건설기계 부품대리점 우신기업사,062-525-3515,광주 북구 중가로 91-7,35.1587838990999,126.909989394103,광주,중장비 부품
부일종합중기부품,062-603-1001,광주 서구 매월2로 53,35.1147263454497,126.86378764532891,광주,중장비 부품
디벨론 광주부품센터,062-527-5500,광주 서구 매월2로 53,35.115003816646,126.864458528056,광주,중장비 부품
두산지게차 정비센터,062-522-1821,광주 광산구 평동옥동로 56,35.117308741953686,126.76305369375159,광주,건설기계 정비
네스테크 정비기기,,광주 광산구 사암로92번길 99-40,35.153329628322,126.812909928089,광주,건설기계 정비
클라크지게차 광주전남판매총판,062-944-5421,광주 광산구 동곡로 647-1,35.1393674972459,126.775699736063,광주,지게차 수리
현대중장비 부품센터,042-526-5700,대전 서구 동서대로 940,36.3336468169437,127.36603995204278,대전,중장비 부품
두산건설기계 지정부품대리점 한양상사,042-623-3634,대전 대덕구 대전로 1320,36.371695112084836,127.42057890597009,대전,중장비 부품
현대중공업건설장비 현대상사,042-624-3393,대전 대덕구 대전로 1035,36.3470027210496,127.417056212965,대전,중장비 부품
두산지게차 충남판매,042-673-7833,대전 대덕구 대전로 1440,36.3807501724849,127.425131218874,대전,중장비 부품
보생산업,052-258-4555,울산 울주군 웅촌면 고연공단1길 15,35.4427979865171,129.170462251363,울산,굴삭기 부품
두산우진상사,052-275-8870,울산 남구 두왕로48번길 5-6,35.507882740449645,129.30942977514414,울산,지게차 부품
지게탁 전동지게차,0502-5554-1364,울산 울주군 삼남읍 반구대로 600,35.5466483554046,129.115071764131,울산,지게차 수리
키존,052-239-1441,울산 울주군 온양읍 남창로 880,35.45303113215742,129.28789939271343,울산,지게차 수리
춘천 중장비종합부품센타,033-261-4967,강원특별자치도 춘천시 동내면 영서로 1860-36,37.84251678192173,127.76285772723084,강원,중장비 부품
비에스중장비부품,,강원특별자치도 원주시 소초면 화수동길 2,37.4218276681186,127.96287963114672,강원,중장비 부품
중장비부품 태백센타,033-553-0831,강원특별자치도 태백시 버들치길 49,37.142009838563496,128.97867230130282,강원,중장비 부품
원주중장비부품센터,,강원특별자치도 원주시 문화촌길 43,37.355472602631764,127.94926816581072,강원,중장비 부품
원주중장비부품센타,,강원특별자치도 원주시 호저면 원문로 694-6,37.3501489162469,127.896215350949,강원,중장비 부품
홍천중장비부품센타,,강원특별자치도 홍천군 북방면 송학정로 36-9,37.6824265075829,127.859192654588,강원,중장비 부품
디벨론 춘천부품센터 (백두중기센터),033-256-8000,강원특별자치도 춘천시 영서로2434번길 10,37.87598960719571,127.71289478154505,강원,중장비 부품
HD현대건설기계 원주대리점,033-731-1766,강원특별자치도 원주시 가현로 184,37.3977384729692,127.938164544756,강원,중장비 부품
극동건설기계정비,033-262-8990,강원특별자치도 춘천시 퇴계공단길 65,37.8439944566628,127.739101103242,강원,건설기계 정비
홍천건설기계정비공장,,강원특별자치도 홍천군 북방면 송학정로 129,37.68875653378721,127.86290266749806,강원,건설기계 정비
일성중장비정비공업사,033-731-0783,강원특별자치도 원주시 치악로 2221,37.3748061934522,127.969033956646,강원,건설기계 정비
예은중장비정비,033-764-7109,강원특별자치도 원주시 우두산길 54-11,37.3810166129434,127.936278383012,강원,건설기계 정비
신흥중기정비공장,,강원특별자치도 평창군 진부면 속사재길 432,37.6538586514841,128.524663476242,강원,건설기계 정비
두산중장비 부품서비스,043-715-8852,충북 청주시 흥덕구 서부로 907,36.5997781737874,127.406212887035,충북,중장비 부품
볼보건설기계부품대리점 태운상사,043-262-0074,충북 청주시 청원구 충청대로 229,36.6767068720976,127.495888545217,충북,중장비 부품
대우중장비센타,043-233-2735,충북 청주시 흥덕구 가로수로1311번길 24,36.63389781602862,127.43947206763079,충북,중장비 부품
볼보건설기계부품대리점 대원상사,043-233-8949,충북 청주시 청원구 무심동로 596,36.652697708345336,127.47816606313967,충북,중장비 부품
공단중기부품,043-296-4478,충북 청주시 서원구 궁뜰로80번길 3,36.5969978818895,127.483986629473,충북,중장비 부품
디벨론 제천부품센터,043-644-7232,충북 제천시 탑안로26길 5,37.163306549291,128.237398068171,충북,중장비 부품
차평건설기계정비,043-878-3093,충북 음성군 생극면 음성로 1916,37.0565753826233,127.603235884927,충북,건설기계 정비
한국건설기계정비협회 건설기계교육훈련원,043-272-3691,충북 청주시 흥덕구 월명로236번길 44,36.6556457701411,127.456453507621,충북,건설기계 정비
중앙중기정비센타,,충북 충주시 금가면 마사1길 143-1,37.0338188309183,127.925180858684,충북,건설기계 정비
천수 자동차정비기기,,충북 청주시 흥덕구 짐대로38번길 22,36.6328057511678,127.426046604834,충북,건설기계 정비
동우중장비부품,041-837-5145,충남 부여군 규암면 흥수로 847,36.2744857343243,126.87467031934277,충남,중장비 부품
현대중공업중장비부품서산대리점,,충남 서산시 덕지천로 387,36.748861198422944,126.4792523700462,충남,중장비 부품
천안중기부품,041-561-3752,충남 천안시 동남구 목천읍 응원1길 24,36.762425228080645,127.17390714813409,충남,중장비 부품
신안중기부품,,충남 당진시 운곡2길 69,36.8916803512645,126.613951259856,충남,중장비 부품
예산중기부품상사,,충남 예산군 예산읍 충서로 870,36.6853551695701,126.827539784129,충남,중장비 부품
대호부품센타,041-547-0860,충남 아산시 실옥로 125,36.791231237954925,126.98527356082928,충남,중장비 부품
현대지게차 부품 아산센타,041-427-0114,충남 아산시 둔포면 해위안길 148-21,36.8958348875835,127.034044649864,충남,중장비 부품
장기건설기계정비공업사,041-674-1617,충남 태안군 태안읍 안면대로 101-24,36.73797084020026,126.29295294582305,충남,건설기계 정비
나인특장,041-564-0999,충남 천안시 서북구 직산읍 군수1길 264-9,36.8976075217952,127.161776634411,충남,건설기계 정비
메카지게차클리닉,1670-1816,충남 천안시 서북구 성환읍 안궁2길 7,36.95696887857205,127.13018484177172,충남,지게차 수리
남원 현대종합부품센터,063-626-8882,전북특별자치도 남원시 교룡로 132,35.41279392007734,127.36728941980475,전북,중장비 부품
볼보건설기계 군산지점 순정부품대리점 대호상사,063-471-8779,전북특별자치도 군산시 미성로 475,35.9557095869115,126.673257755589,전북,중장비 부품
한일상사,063-251-0051,전북특별자치도 전주시 완산구 전주객사3길 84,35.8208834677562,127.141516004285,전북,중장비 부품
전북에어공구수리센타,,전북특별자치도 익산시 목천로6길 11-1,35.9296161389674,126.946438391275,전북,중장비 수리
국제중기정비공업사,063-212-4662,전북특별자치도 전주시 덕진구 추천로 25-15,35.8430265533893,127.1012994537,전북,건설기계 정비
DS지게차부품,,전북특별자치도 군산시 옥산면 백석로 94,35.9426035458621,126.721021232972,전북,지게차 부품
대산물류장비,,전북특별자치도 김제시 백구면 신모길 128,35.87639795623986,126.98101416678188,전북,지게차 수리
두산협동중기부품센터,061-283-7787,전남 영암군 삼호읍 소등로 169,34.7761936275794,126.452319155216,전남,중장비 부품
두산건설기계 지정부품대리점 제일상사,061-744-1122,전남 순천시 장자보3길 10-1,34.94455288444102,127.51439881742814,전남,중장비 부품
디벨론 목포부품센터,061-282-9666,전남 목포시 녹색로134번길 31,34.81227283237679,126.42951494249373,전남,중장비 부품
디벨론 해남부품센터,061-534-7334,전남 해남군 해남읍 땅끝대로 45-29,34.5598796169816,126.591655833081,전남,중장비 부품
볼보건설기계 지정부품대리점 순천광연중기,061-744-4834,전남 순천시 강남로 47-1,34.9499431651433,127.491086914778,전남,중장비 부품
대부상사,061-684-5522,전남 여수시 원학동길 2,34.7655249876635,127.671477585911,전남,중장비 부품
가야건설기계정비,,전남 나주시 남평읍 풍림남석길 55-7,35.04393453917671,126.85987629487481,전남,건설기계 정비
현대건설장비 지정정비공장,061-331-9345,전남 나주시 남평읍 교원교촌길 4,35.0344250351326,126.836144591715,전남,건설기계 정비
현대중기정비,061-333-0958,전남 나주시 남평읍 세남로 1642-1,35.0337227014039,126.836025446709,전남,건설기계 정비
현대중장비 부품대리점 경일상사,054-859-4477,경북 안동시 강남로 29,36.54777417525276,128.70499612182908,경북,중장비 부품
삼성중장비부품대리점,054-465-4141,경북 구미시 수출대로1길 17,36.1124476720411,128.365963329253,경북,중장비 부품
유성중기부품,010-3538-7396,경북 안동시 은행나무로 46-11,36.5658820403698,128.690015451681,경북,중장비 부품
볼보건설기계 삼성중장비부품,054-465-4141,경북 구미시 수출대로1길 17,36.1125589352485,128.366005237105,경북,중장비 부품
현대건설기계 영주대리점,054-635-2926,경북 영주시 가흥로 24,36.802744254315584,128.60414996009865,경북,중장비 부품
볼보건설기계 한진중기상사,053-592-0900,경북 경산시 진량읍 낙산길 55-4,35.8758170567942,128.817790840312,경북,중장비 부품
왜관 중기전동지게차수리센타,054-975-1006,경북 칠곡군 왜관읍 공단로 5,35.9602234253856,128.398385486127,경북,중장비 수리
건설종합기계 기계수리,054-433-0949,경북 김천시 영남대로 1496,36.1287730484662,128.099404198459,경북,중장비 수리
근남공업사,010-3881-9189,경북 울진군 근남면 수산1길 45-48,36.967383239967,129.397806455178,경북,중장비 수리
대성자동차건설기계정비,054-373-8572,경북 청도군 청도읍 모강길 5,35.6496578101329,128.751800103827,경북,건설기계 정비
세아건설기계정비,,경북 경산시 하양읍 지식산업4로 112,35.9330156701609,128.821056509902,경북,건설기계 정비
창신건설기계정비,010-8856-3020,경북 안동시 모래골1길 5-11,36.57892783451633,128.69732460957803,경북,건설기계 정비
종남건설기계정비공장,,경북 영주시 구성로88번길 220,36.8108796297516,128.63614113191,경북,건설기계 정비
혁신건설기계,,경북 김천시 농소면 용시길 29-13,36.110380716622,128.171797261466,경북,건설기계 정비
경북중기정비,053-857-9617,경북 경산시 하양읍 지식산업4로6길 17,35.93055716209587,128.82107655924364,경북,건설기계 정비
동국지게차종합정비,054-705-4303,경북 경주시 외동읍 내외로 614,35.71316625627786,129.27058082661213,경북,건설기계 정비
강호중기정비,,경북 포항시 남구 연일읍 중단길4번길 45-5,35.989747451211,129.329186737381,경북,건설기계 정비
태성중기정비,,경북 포항시 북구 흥해읍 동해대로1954번길 20-1,36.1474152120952,129.349962015138,경북,건설기계 정비
다산지게차정비,054-956-6366,경북 고령군 다산면 다산산단로 149,35.7918702126919,128.382235926889,경북,건설기계 정비
서광중기정비,,경북 상주시 함창읍 어풍로 40,36.56286208385022,128.1861327697382,경북,건설기계 정비
명진중기정비공업사,054-535-3200,경북 상주시 영남제일로 1330,36.418920857271345,128.19381713161698,경북,건설기계 정비
포항중기정비,,경북 포항시 남구 연일읍 형산강남로380번길 11,35.99906087531187,129.3556237717755,경북,건설기계 정비
세원중기정비,054-292-0035,경북 포항시 남구 정몽주로 823-33,35.9890134158218,129.405070740743,경북,건설기계 정비
정인중기정비공장,054-535-8610,경북 상주시 북상주로 261,36.452673806035165,128.16083218592027,경북,건설기계 정비
왜관중기 지게차정비공장,054-975-1006,경북 성주군 성주읍 학산길 26,35.9407278539014,128.306245669979,경북,건설기계 정비
태기종합중기 정비공장,054-971-1559,경북 칠곡군 왜관읍 낙산리 706-6,35.9493308862091,128.400494272062,경북,건설기계 정비
장비로,1644-4884,경북 고령군 개진면 양전길 63-6,35.712169832749765,128.30036151090997,경북,건설기계 정비
우성중장비산업,054-742-2339,경북 경주시 외동읍 관문로 886,35.65684101995275,129.29506989471327,경북,건설기계 정비
두산산업차량 지정부품대리점 지게차포항센터,054-285-1190,경북 포항시 남구 대송면 제내길53번길 36,35.980613569512926,129.36616373005185,경북,지게차 부품
현대중공업 중장비부품대리점 동남중기상사,055-288-4706,경남 창원시 의창구 무역로581번길 42-25,35.2329673850771,128.6369034843759,경남,중장비 부품
삼성클라크 부품센타,055-276-1400,경남 창원시 의창구 차상로72번길 5-15,35.23170952550952,128.63588526894517,경남,중장비 부품
클라크지게차 순정부품대리점,055-343-8987,경남 김해시 진례면 고모로 212,35.2462006787132,128.768767150456,경남,중장비 부품
디벨론 진주부품센터,,경남 진주시 남강로1241번길 5,35.1727643169878,128.125624564458,경남,중장비 부품
현대건설기계 부품대리점 현대지게차부품,055-276-3535,경남 창원시 마산회원구 봉암공단10길 51,35.2126825108683,128.597447560396,경남,중장비 부품
디벨론 창원부품센터,055-255-3554,경남 창원시 마산회원구 봉암공단8길 77,35.2141417453558,128.595728985542,경남,중장비 부품
볼보건설기계 지정부품대리점,055-758-0505,경남 진주시 대신로 168,35.17525137682202,128.11828665221344,경남,중장비 부품
대영건설기계종합정비,,경남 진주시 남강로 1049,35.1694755114215,128.106941484051,경남,중장비 부품
현대건설기계 현대서부경남센터,,경남 진주시 남강로 1211,35.170582142451096,128.12379435104435,경남,중장비 부품
종합모타판매수리,055-333-2464,경남 김해시 구산로10번길 21-14,35.2475401127174,128.871307716258,경남,중장비 수리
한백건설기계정비,,경남 진주시 판문로 277,35.1909620709748,128.036517770343,경남,건설기계 정비
한마음건설기계정비,055-338-2009,경남 김해시 주촌면 서부로1499번길 68-40,35.23335407319107,128.81309224392038,경남,건설기계 정비
유신건설기계정비공업사,055-758-8021,경남 진주시 공단로 250,35.1753165545863,128.127200928032,경남,건설기계 정비
상덕건설기계정비,055-762-0206,경남 진주시 문산읍 월아산로1117번길 47,35.1708750925079,128.15663114888,경남,건설기계 정비
한길건설기계서비스 현대건설기계진주지정정비공장,055-763-6220,경남 진주시 문산읍 월아산로1117번길 83,35.170088914248,128.152970385091,경남,건설기계 정비
경영건설중기정비,,경남 김해시 진례면 고모로 522-42,35.269063806526695,128.77696714534932,경남,건설기계 정비
한마음중기정비,010-3880-1708,경남 통영시 도산면 법송3길 54-22,34.8939278279723,128.372352703155,경남,건설기계 정비
화평중기종합정비,055-374-5600,경남 양산시 상북면 소토로 14,35.3779687652199,129.053902140165,경남,건설기계 정비
사천지게차정비,055-855-5788,경남 사천시 축동면 내축로 147,35.1116733330503,128.052881470545,경남,건설기계 정비
진일종합중기정비,010-8300-5134,경남 양산시 산막공단로 82,35.368547402641,129.053689748436,경남,건설기계 정비
오성중기정비,055-755-5667,경남 진주시 대신로148번길 18-1,35.17317082143301,128.11988601670384,경남,건설기계 정비
창원중기정비,055-295-0815,경남 창원시 마산회원구 봉암공단2길 13,35.2189722321306,128.59847026372,경남,건설기계 정비
두산지게차정비 거제통영고성총판,055-648-3008,경남 통영시 도산면 법송3길 72,34.893788350050805,128.3715343254791,경남,건설기계 정비
틸트프로 경남진주대리점 현대중기정비,1544-7705,경남 진주시 문산읍 월아산로1117번길 83,35.1700826791508,128.152962613633,경남,건설기계 정비
구일중기,055-758-9191,경남 진주시 돗골로 68,35.174266902579944,128.1127364004388,경남,건설기계 정비
한남유압,,경남 김해시 삼안로 11,35.230326944883565,128.91727878349127,경남,건설기계 정비
KBT미니굴삭기정비공장,,경남 창녕군 남지읍 낙동로 333,35.3884758935945,128.460817433348,경남,굴삭기 정비
천지모터스,055-973-9911,경남 산청군 금서면 동의보감로312번가길 139-94,35.4533874042134,127.85006559848,경남,덤프트럭 정비
대호전동지게차,010-3400-9357,경남 김해시 대동면 동남로 197,35.2501916023478,128.998025720014,경남,지게차 수리
현대지게차 김해판매서비스,1800-7737,경남 김해시 한림면 김해대로974번길 10-18,35.291182394617856,128.78872794983553,경남,지게차 수리
진주지게차정비,055-758-6787,경남 진주시 정촌면 삼일로105번길 32-24,35.1310104298967,128.101119371813,경남,지게차 정비
부경상사중고지게차,055-327-4455,경남 김해시 전하로 4,35.220932783844994,128.84860191527468,경남,지게차 정비
현대건설기계 부품대리점 관동부품종합상사,064-759-3188,제주특별자치도 제주시 선반로 29,33.5151195426265,126.561306332141,제주,중장비 부품
온지게차,010-8663-7778,제주특별자치도 제주시 한림읍 드르밧길 93-77,33.4031783817717,126.282873504134,제주,지게차 수리
